1|1476000000|09|10|Oktober|Okt|2016|10|00|Sonntag|So|8|6|-9999|87|WNW|286|13|6|1022|6|86|Bedeckt|1|0|0|10|4|cloudy|Bedeckt
2|1476003600|09|10|Oktober|Okt|2016|11|00|Sonntag|So|9|9|-9999|86|WNW|291|14|-9999|1023|7|89|Bedeckt|1|0|0|15|4|cloudy|Bedeckt
3|1476007200|09|10|Oktober|Okt|2016|12|00|Sonntag|So|9|9|-9999|84|WNW|293|13|-9999|1023|7|89|Bedeckt|1|0|0|15|4|cloudy|Bedeckt
4|1476010800|09|10|Oktober|Okt|2016|13|00|Sonntag|So|9|9|-9999|87|WNW|294|14|-9999|1023|7|95|Bedeckt|1|0|0|20|4|cloudy|Bedeckt
5|1476014400|09|10|Oktober|Okt|2016|14|00|Sonntag|So|9|9|-9999|86|WNW|297|14|-9999|1023|7|92|Bedeckt|1|0|0|24|4|cloudy|Bedeckt
6|1476018000|09|10|Oktober|Okt|2016|15|00|Sonntag|So|9|9|-9999|85|WNW|300|14|-9999|1023|7|90|Bedeckt|1|0|0|17|4|cloudy|Bedeckt
7|1476021600|09|10|Oktober|Okt|2016|16|00|Sonntag|So|10|10|-9999|83|NW|305|14|-9999|1023|7|87|Bedeckt|1|0|0|16|4|cloudy|Bedeckt
8|1476025200|09|10|Oktober|Okt|2016|17|00|Sonntag|So|9|9|-9999|83|NW|307|13|-9999|1023|7|81|Bedeckt|0|0|0|4|4|cloudy|Bedeckt
9|1476028800|09|10|Oktober|Okt|2016|18|00|Sonntag|So|9|9|-9999|84|NW|304|11|-9999|1024|7|79|Stark bewölkt|0|0|0|6|3|mostlycloudy|Wolkig
10|1476032400|09|10|Oktober|Okt|2016|19|00|Sonntag|So|8|7|-9999|87|WNW|296|8|7|1024|6|68|Stark bewölkt|0|0|0|7|3|mostlycloudy|Wolkig
11|1476036000|09|10|Oktober|Okt|2016|20|00|Sonntag|So|8|7|-9999|90|WNW|290|8|7|1024|6|66|Stark bewölkt|0|0|0|8|3|mostlycloudy|Wolkig
12|1476039600|09|10|Oktober|Okt|2016|21|00|Sonntag|So|7|5|-9999|91|W|275|8|5|1024|6|68|Stark bewölkt|0|0|0|8|3|mostlycloudy|Wolkig
13|1476043200|09|10|Oktober|Okt|2016|22|00|Sonntag|So|7|5|-9999|93|W|263|10|5|1025|6|77|Stark bewölkt|0|0|0|8|3|mostlycloudy|Wolkig
14|1476046800|09|10|Oktober|Okt|2016|23|00|Sonntag|So|7|5|-9999|94|WSW|251|8|5|1025|6|78|Stark bewölkt|0|0|0|21|3|mostlycloudy|Wolkig
15|1476050400|10|10|Oktober|Okt|2016|00|00|Montag|Mo|6|4|-9999|95|W|265|10|4|1025|6|77|Stark bewölkt|0|0|0|21|3|mostlycloudy|Wolkig
16|1476054000|10|10|Oktober|Okt|2016|01|00|Montag|Mo|6|4|-9999|95|WSW|250|8|4|1025|5|75|Stark bewölkt|0|0|0|20|3|mostlycloudy|Wolkig
17|1476057600|10|10|Oktober|Okt|2016|02|00|Montag|Mo|6|4|-9999|96|WSW|251|10|4|1025|5|72|Stark bewölkt|0|0|0|21|3|mostlycloudy|Wolkig
